metric,strategy,benchmark
CAGR,0.048321854688700316,-0.032943329902714424
Cumulative,0.6031510848561463,-0.2846817058256266
AnnVol,0.48641479118485365,0.28428559556465677
MaxDD,-0.5113017485877347,-0.4730103931413138
Sharpe,0.09934289738803691,-0.11588110835261059
