metric,strategy,benchmark
CAGR,0.06074530430092784,-0.032943329902714424
Cumulative,0.8036249684513588,-0.2846817058256266
AnnVol,0.4491407849920205,0.28428559556465677
MaxDD,-0.490301,-0.4730103931413138
Sharpe,0.1352478027619047,-0.11588110835261059
