證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
1307,三芳,201312,11449.6839,31.4500,0.5604,1.6403,1.0917,0.1136,0.0635,0.0913,0.0756,0.7870,237.2140,163.9433,5.0710,10.4285,-5.0700,13.4008,31.8658,1
1308,亞聚,201312,12258.5671,26.1000,0.8896,1.3354,2.1120,0.0585,0.0530,0.0481,0.0925,0.1045,745.6387,646.0752,9.6466,23.2460,-9.9357,-13.2552,1.5564,-1
1309,台達化,201312,4079.2649,12.4500,0.3223,0.9968,0.1903,0.0042,0.0014,-0.0080,0.0008,2.0303,132.4601,89.8310,7.7137,11.9339,-120.3549,146.1516,30.3665,1
1310,台苯,201312,10582.5318,21.0500,0.8247,1.5882,0.4864,0.1529,0.0901,0.0473,0.0468,0.6970,122.1864,92.0179,17.2260,15.5148,277.4388,315.2014,174.8042,1
1312,國喬,201312,20988.2599,23.1500,0.1666,1.1516,0.7984,0.1186,0.0867,0.0770,0.0822,0.3677,193.2809,137.6540,12.3189,9.8910,409.0096,11.3491,51.3072,1
1313,聯成,201312,16698.2076,14.4500,0.1168,0.8790,0.3236,0.0312,0.0132,-0.0031,0.0115,1.3694,143.5745,110.0908,8.0409,14.3027,-112.8258,-50.7470,-11.3497,-1
1314,中石化,201312,31551.8599,13.6000,0.5346,0.9899,0.8928,-0.0458,-0.0321,-0.0509,-0.0413,0.4294,219.7863,179.8782,13.0491,15.8961,-198.3225,-192.4456,-24.4444,-1
1315,達新,201312,6600.0000,30.0000,0.2668,0.8745,1.9476,0.0226,0.0179,0.0180,0.0503,0.2617,487.8176,405.6492,4.8156,11.1014,-24.7784,1.2817,3.0928,-1
1316,上曜,201312,1484.4178,10.8500,0.8647,1.0155,1.1576,-0.1438,-0.0745,-0.1003,-0.1640,0.9296,198.5780,116.2609,1.4812,5.9804,-21.0896,-45.0883,7.4257,-1
1319,東陽,201312,26379.8787,44.6000,0.2921,1.4784,1.3448,0.0784,0.0448,0.0710,0.0713,0.7506,127.3692,89.6082,7.4660,4.6937,68.5394,80.5650,71.2092,1
1321,大洋,201312,7793.9307,34.3000,0.6311,1.5311,1.3233,0.0026,0.0015,-0.0033,0.0022,0.7749,141.0857,90.0397,9.7003,9.6636,87.9272,111.2195,35.3057,1
1323,永裕,201312,3442.3528,39.6000,0.3072,2.0167,1.0465,0.1775,0.0845,0.1294,0.0921,1.1003,186.7708,138.4852,6.3550,5.7024,24.4942,27.7843,84.6154,1
1324,地球,201312,1220.7309,16.2500,0.9975,1.1982,0.8202,0.0427,0.0317,0.0328,0.0292,0.3484,333.9756,262.3969,7.2593,7.8302,2.7432,26.9004,41.3043,1
1325,恆大,201312,2013.6560,20.0000,0.9228,1.0529,1.8484,0.0375,0.0338,0.0590,0.0658,0.1082,946.5291,777.3667,5.5805,5.9562,-27.2697,-1.7478,16.9591,-1
1326,台化,201312,492339.6492,84.0000,0.6406,1.5744,1.1503,0.0853,0.0507,0.0443,0.0623,0.6811,218.5600,163.5671,7.9516,19.6724,498.4777,213.7400,12.0000,-1
1337,再生-KY,201312,19084.0420,95.5000,0.9984,2.1593,2.6576,0.1456,0.1033,0.2718,0.1793,0.4099,213.3422,202.3734,23.2164,3.2861,-3.3883,-14.2396,13.6905,-1
1402,遠東新,201312,176988.5676,34.4000,0.4460,1.0074,0.7410,0.0813,0.0370,0.0557,0.0598,1.1992,113.8546,85.6597,9.8756,0.0000,8.9333,27.5239,3.9275,-1
1409,新纖,201312,18397.0578,10.4500,0.5262,0.5373,0.4603,0.0492,0.0136,0.0000,0.0421,2.3212,854.0425,806.2090,8.1803,0.0000,0.0000,49.0533,7.6210,-1
1410,南染,201312,2083.5000,23.1500,0.9453,1.5233,3.4535,0.0744,0.0610,0.1729,0.1687,0.2188,793.2707,768.0862,24.1173,6.0728,-15.9067,-18.8711,-5.5102,-1
1413,宏洲,201312,852.6389,5.0100,0.7425,0.8797,0.1826,-0.3074,-0.0880,-0.0605,-0.0638,2.4954,80.3533,31.5179,5.0668,71.7138,-23.8938,-11.6340,2.8747,-1
1414,東和,201312,2211.0000,10.0500,0.6956,0.6790,1.6493,0.0418,0.0309,0.0732,0.1017,0.3549,278.5119,123.9525,2.4564,1034.4066,39.5405,48.2829,7.1429,-1
1416,廣豐,201312,6019.0286,19.5500,0.0043,1.1041,18.1969,0.0117,0.0068,-0.4964,0.1921,0.7267,177.2713,44.9137,0.0984,13.3059,-123.7170,-94.3051,12.6801,-1
1417,嘉裕,201312,3293.5917,8.6700,0.3654,0.7521,0.9933,0.0038,0.0028,-0.0359,0.0050,0.3665,272.6692,191.2716,3.0193,8.5088,-6713.5000,-90.0838,-9.2147,-1
1418,東華,201312,850.9330,6.4500,0.0170,0.9569,0.3965,-0.1376,-0.0606,-0.0668,-0.0570,1.2707,60.6667,15.6886,6.3619,90.7728,43.7742,35.9046,17.2727,-1
